,Close Price,Date
87,31.200001,10-8-2000
88,31.0,11-8-2000
89,31.940001000000002,14-8-2000
90,31.65,15-8-2000
91,31.82,16-8-2000
92,31.9,17-8-2000
93,31.9,18-8-2000
94,32.349998,21-8-2000
95,31.299999,22-8-2000
96,32.049999,23-8-2000
97,31.629998999999998,24-8-2000
98,32.049999,25-8-2000
99,32.869999,28-8-2000
100,32.720001,29-8-2000
101,33.400002,30-8-2000
102,33.099998,31-8-2000
103,33.380001,1-9-2000
104,33.799999,5-9-2000
105,34.950001,6-9-2000
106,35.330002,7-9-2000
107,33.700001,8-9-2000
108,35.099998,11-9-2000
109,34.200001,12-9-2000
110,33.799999,13-9-2000
111,36.880001,18-9-2000
112,36.5,19-9-2000
113,37.5,20-9-2000
114,33.950001,21-9-2000
115,32.650002,22-9-2000
116,31.57,25-9-2000
117,31.5,26-9-2000
118,31.5,27-9-2000
119,30.299999,28-9-2000
120,30.860001,29-9-2000
121,32.150002,2-10-2000
122,32.07,3-10-2000
123,30.65,5-10-2000
124,30.85,6-10-2000
125,31.879998999999998,9-10-2000
126,33.150002,10-10-2000
127,33.150002,11-10-2000
128,36.099998,12-10-2000
129,35.049999,13-10-2000
130,33.099998,16-10-2000
131,32.950001,17-10-2000
132,33.549999,18-10-2000
133,32.950001,19-10-2000
134,33.73,23-10-2000
135,33.369999,24-10-2000
136,32.959998999999996,25-10-2000
137,33.75,26-10-2000
138,32.700001,27-10-2000
139,32.689999,31-10-2000
140,33.200001,1-11-2000
141,32.540001000000004,2-11-2000
142,32.599998,3-11-2000
143,32.860001000000004,6-11-2000
144,33.400002,7-11-2000
145,33.290001000000004,8-11-2000
146,33.950001,9-11-2000
147,34.09,10-11-2000
148,34.43,13-11-2000
149,34.849998,14-11-2000
150,35.599998,15-11-2000
151,35.049999,16-11-2000
152,35.599998,17-11-2000
153,35.220001,20-11-2000
154,35.400002,22-11-2000
155,35.380001,27-11-2000
156,34.25,28-11-2000
157,34.630001,29-11-2000
158,33.799999,30-11-2000
159,32.049999,1-12-2000
160,31.299999,4-12-2000
161,29.549999,5-12-2000
162,29.360001,7-12-2000
163,29.450001,11-12-2000
164,29.690001000000002,12-12-2000
165,28.5,13-12-2000
166,27.9,14-12-2000
167,28.85,15-12-2000
168,29.65,18-12-2000
169,28.799999,19-12-2000
170,25.67,20-12-2000
171,26.049999,21-12-2000
172,26.18,22-12-2000
